Date,Id,Name,Amount,Source,Type
2022-01-05,24427332004740275886736; 05814; 9129;,MCDONALDS F10996 SAN DIEGO,-9.25,Fidelity,Restaurant
2022-07-21,55432862201200328279615,SOUTHWES 5262143804919 800-435-9792 TX,-56.92,Bank of America,Transportation
2022-07-09,75418232189151355825168,STEAM PURCHASE 425-9522985 WA,-3.47,Bank of America,Video Games
2022-07-08,55310202188083304244214,AMAZON.COM*KO7C44GX3 A AMZN.COM/BILLWA,-38.03,Bank of America,Amazon
2022-07-06,55432862187200539543500,COMCAST CALIFORNIA 800-COMCAST CA,-39.99,Bank of America,Utilities
2022-07-04,15270212185000994755857,STEAMGAMES.COM 4259522 Bellevue WA,-4.2,Bank of America,Video Games
2022-06-30,55432862180200470504641,PG&E WEBRECURRING 800-743-5000 CA,-49.48,Bank of America,Utilities
2022-06-29,82711162180000005748767,ZEROCATER SAN FRANCISCOCA,-0.67,Bank of America,Restaurant
2022-06-29,75418232179150569496347,STEAM PURCHASE 425-9522985 WA,-7.41,Bank of America,Video Games
2022-06-22,52704872172700898783153,WASTE MGMT WM EZPAY 8668342080 TX,-77.31,Bank of America,Utilities
2022-08-19,55310202230083338494452,AMZN MKTP US*1S8HY1320 AMZN.COM/BILLWA,-38.73,Bank of America,Amazon
2022-08-08,55432862219200184570982,WWW COSTCO COM 800-955-2292 WA,-449.99,Bank of America,Transportation
2022-08-06,55432862218200661828938,COMCAST CALIFORNIA 800-COMCAST CA,-39.99,Bank of America,Utilities
2022-08-03,15270212215000602450135,STEAMGAMES.COM 4259522 Bellevue WA,-5.76,Bank of America,Video Games
2022-08-03,55432862214200504184998,PG&E WEBRECURRING 800-743-5000 CA,-58.45,Bank of America,Utilities
2022-07-29,21086000000076894712168,CASH REWARDS STATEMENT CREDIT,62.16,Bank of America,Cash Back
2022-09-19,55310202260083319894178,AMZN MKTP US*1M0JZ9N72 AMZN.COM/BILLWA,-56.4,Bank of America,Amazon
2022-09-13,55432862255203807340523,SOUTHWES 5262164356035 800-435-9792 TX,-106.87,Bank of America,Transportation
2022-09-06,55432862249202020924088,COMCAST CALIFORNIA 800-COMCAST CA,-39.99,Bank of America,Utilities
2022-09-01,55432862243200481664710,PG&E WEBRECURRING 800-743-5000 CA,-53.11,Bank of America,Utilities
2022-08-22,55310202232083749506181,AMZN MKTP US*8058I3SI3 AMZN.COM/BILLWA,-32.7,Bank of America,Amazon
2022-08-22,55310202232083715792542,AMZN MKTP US*D91H73ZJ3 AMZN.COM/BILLWA,-5.27,Bank of America,Amazon
